alpha,nu,phi_k,muxi,sigmaxi,a,wss,els
0.25,0.6,2.4,0.08125,0.1970207793609598,0.001,1.5186208626255966,7.408936010995033
0.25,0.6,2.4,0.08125,0.20640272123529121,0.001,1.5187968317036766,7.3822430037341515
0.25,0.6,2.4,0.08125,0.21578466310962263,0.001,1.518955525805882,7.350527573471098
0.25,0.6,2.4,0.08125,0.22516660498395408,0.001,1.5190985734565934,7.316641185535586
0.25,0.6,2.4,0.08125,0.2345485468582855,0.001,1.5192259826472172,7.289711932380824
0.25,0.6,2.4,0.08125,0.2439304887326169,0.001,1.5193412310132113,7.26555834309306
0.25,0.6,2.4,0.08125,0.2533124306069483,0.001,1.5194460179070728,7.243696617846182
0.25,0.6,2.4,0.08125,0.26269437248127975,0.001,1.5195416952139973,7.2236220190101825
0.25,0.6,2.4,0.08125,0.27207631435561114,0.001,1.5196292445822173,7.205351101592452
0.25,0.6,2.4,0.08125,0.2814582562299426,0.001,1.5197096389414646,7.188462291973767
0.25,0.6,2.4,0.08125,0.290840198104274,0.001,1.519783617815859,7.172926015960939
0.25,0.6,2.4,0.08125,0.3002221399786054,0.001,1.5198519043507097,7.158538123067662
0.25,0.6,2.4,0.08125,0.30960408185293686,0.001,1.5199150861644113,7.145242144884635
0.25,0.6,2.4,0.08125,0.31898602372726825,0.001,1.5199736847336427,7.1328503376634345
0.25,0.6,2.4,0.08125,0.3283679656015997,0.001,1.5200281287598978,7.121550313031843
0.25,0.6,2.4,0.08125,0.3377499074759311,0.001,1.520078797466072,7.1109186786591785
0.25,0.6,2.4,0.08125,0.34713184935026253,0.001,1.5201256392847264,7.101956932585457
0.25,0.6,2.4,0.08125,0.3565137912245939,0.001,1.5201687958119021,7.09480857086098
0.25,0.6,2.4,0.08125,0.36589573309892537,0.001,1.5202091911438882,7.088045574980901
0.25,0.6,2.4,0.08125,0.37527767497325676,0.001,1.52024704426903,7.081740259622278
0.25,0.6,2.4,0.0975,0.00938194187433142,0.001,1.4650133770762694,62.90161306806448
0.25,0.6,2.4,0.0975,0.01876388374866284,0.001,1.4710783044740159,29.738944790594505
0.25,0.6,2.4,0.0975,0.02814582562299426,0.001,1.4389796859922823,162.99158270605858
0.25,0.6,2.4,0.0975,0.03752776749732568,0.001,1.4884814920404448,16.244679869853144
0.25,0.6,2.4,0.0975,0.046909709371657095,0.001,1.4917749550330355,13.270807217689956
0.25,0.6,2.4,0.0975,0.05629165124598852,0.001,1.4957347723002197,11.33153667850203
0.25,0.6,2.4,0.0975,0.06567359312031994,0.001,1.4994456479754796,10.035442167923387
0.25,0.6,2.4,0.0975,0.07505553499465135,0.001,1.5023626604564848,9.23758233377496
0.25,0.6,2.4,0.0975,0.08443747686898277,0.001,1.5047631137055173,8.555046866505801
0.25,0.6,2.4,0.0975,0.09381941874331419,0.001,1.5067703786300362,8.07686922841863
0.25,0.6,2.4,0.0975,0.10320136061764561,0.001,1.508411928471525,7.895730468248878
0.25,0.6,2.4,0.0975,0.11258330249197704,0.001,1.5097883491123951,7.667899014733434
0.25,0.6,2.4,0.0975,0.12196524436630846,0.001,1.5109219220726744,7.6980217505292785
0.25,0.6,2.4,0.0975,0.13134718624063987,0.001,1.5118748864786768,7.616351385713458
0.25,0.6,2.4,0.0975,0.1407291281149713,0.001,1.5126926631408868,7.5276657217219265
0.25,0.6,2.4,0.0975,0.1501110699893027,0.001,1.5133859347017435,7.480418468799973
0.25,0.6,2.4,0.0975,0.15949301186363413,0.001,1.5139838840596787,7.388347056976217
0.25,0.6,2.4,0.0975,0.16887495373796554,0.001,1.5144927375855153,7.293359892987055
0.25,0.6,2.4,0.0975,0.17825689561229696,0.001,1.5149413802770675,7.216187672522469
0.25,0.6,2.4,0.0975,0.18763883748662838,0.001,1.5153431965021906,7.167102167781114
0.25,0.6,2.4,0.0975,0.1970207793609598,0.001,1.5157031917177155,7.128083716986882
0.25,0.6,2.4,0.0975,0.20640272123529121,0.001,1.516025347587116,7.10143891450872
0.25,0.6,2.4,0.0975,0.21578466310962263,0.001,1.5163122569669416,7.087967578182632
0.25,0.6,2.4,0.0975,0.22516660498395408,0.001,1.5165710761204942,7.073532189534692
0.25,0.6,2.4,0.0975,0.2345485468582855,0.001,1.5167997449435962,7.065294188865005
0.25,0.6,2.4,0.0975,0.2439304887326169,0.001,1.5170074736666186,7.054374853879033
0.25,0.6,2.4,0.0975,0.2533124306069483,0.001,1.5171976670071408,7.037079908567563
0.25,0.6,2.4,0.0975,0.26269437248127975,0.001,1.5173725148839525,7.02193129489578
0.25,0.6,2.4,0.0975,0.27207631435561114,0.001,1.5175354851058032,7.0007645562536895
0.25,0.6,2.4,0.0975,0.2814582562299426,0.001,1.5176828298155556,6.992462249549649
0.25,0.6,2.4,0.0975,0.290840198104274,0.001,1.5178190748824194,6.9870024613786486
0.25,0.6,2.4,0.0975,0.3002221399786054,0.001,1.5179460545767345,6.981752989716472
0.25,0.6,2.4,0.0975,0.30960408185293686,0.001,1.5180633614921075,6.979064163728493
0.25,0.6,2.4,0.0975,0.31898602372726825,0.001,1.5181727390440938,6.979633397880337
0.25,0.6,2.4,0.0975,0.3283679656015997,0.001,1.5182751548047453,6.977363358881651
0.25,0.6,2.4,0.0975,0.3377499074759311,0.001,1.5183712375415974,6.969313210020371
0.25,0.6,2.4,0.0975,0.34713184935026253,0.001,1.518461548750364,6.961891393902161
0.25,0.6,2.4,0.0975,0.3565137912245939,0.001,1.5185466000793364,6.95496475408227
0.25,0.6,2.4,0.0975,0.36589573309892537,0.001,1.518626712156695,6.948708409561341
0.25,0.6,2.4,0.0975,0.37527767497325676,0.001,1.5187023925127563,6.942827975583721
0.25,0.6,2.4,0.11375,0.00938194187433142,0.001,1.4281254308754585,198.79138191880813
0.25,0.6,2.4,0.11375,0.01876388374866284,0.001,1.4591981424339913,33.00623711775478
0.25,0.6,2.4,0.11375,0.02814582562299426,0.001,1.4651371127554573,23.988815276760985
0.25,0.6,2.4,0.11375,0.03752776749732568,0.001,1.4696915428032284,18.17452150236847
0.25,0.6,2.4,0.11375,0.046909709371657095,0.001,1.4820113495654954,14.143500666848777
0.25,0.6,2.4,0.11375,0.05629165124598852,0.001,1.48561489994869,12.164653239895314
0.25,0.6,2.4,0.11375,0.06567359312031994,0.001,1.4896157622158015,10.702264127300591
0.25,0.6,2.4,0.11375,0.07505553499465135,0.001,1.4933633117863434,9.315757201878181
0.25,0.6,2.4,0.11375,0.08443747686898277,0.001,1.4966089781129128,8.568428277891462
0.25,0.6,2.4,0.11375,0.09381941874331419,0.001,1.49925826733317,8.341111374263836
0.25,0.6,2.4,0.11375,0.10320136061764561,0.001,1.501544088038996,7.816513407563476
0.25,0.6,2.4,0.11375,0.11258330249197704,0.001,1.5034827401657347,7.539376880133198
0.25,0.6,2.4,0.11375,0.12196524436630846,0.001,1.5052050660510743,7.237023291232496
